ID,Family,Binomial,Ndaphnia,Sex,X240m,nbut,death.p,Phylo
1070,Nymphalidae,Melanitis leda,10,Male,10,1,1,ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME
2829,Lycaenidae,Nacaduba berenice,10,Female,1,1,0.1,BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava
2747,Lycaenidae,Leptotes plinius,10,Female,10,1,1,BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius
1038,Hesperiidae,Ocybadistes flavovittatus,10,Female,7,1,0.7,DL02Q800_X_Hesperiidae_Hesperiinae_Taractrocerini_Ocybadistes_flavovittata_X_ME
2743,Lycaenidae,Theclinesthes onycha,10,Female,7,1,0.7,BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini
2757,Pieridae,Catopsilia pomona,10,Male,1,1,0.1,BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla
1082,Pieridae,Catopsilia pomona,10,Male,1,1,0.1,BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla
1049,Pieridae,Eurema hecabe,10,Male,10,1,1,DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina
1056,Pieridae,Eurema smilax,10,Female,0,1,0,DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina
LP4,Lycaenidae,Leptotes plinius,10,Female,5,2,0.5,BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius
2775,Papilionidae,Papilio aegeus,10,Male,10,1,1,SRR5879306_X_Papilionidae_Papilioninae_Papilionini_Papilio_ambrax
2848,Pieridae,Catopsilia pomona,10,Female,0,1,0,BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla
2740,Lycaenidae,Nacaduba berenice,10,Male,6,1,0.6,BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava
1067,Pieridae,Catopsilia pomona,10,Female,2,1,0.2,BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla
2750,Lycaenidae,Leptotes plinius,10,Male,5,1,0.5,BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius
2761,Lycaenidae,Theclinesthes onycha,10,Female,0,1,0,BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini
2800,Lycaenidae,Nacaduba berenice,10,Male,4,1,0.4,BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava
1015,Lycaenidae,Lampides boeticus,10,Female,7,1,0.7,BN001093_BNSZS00308_Lycaenidae_Polyommatinae_Polyommatini_Lampides_boeticus
1025,Pieridae,Eurema smilax,10,Female,5,1,0.5,DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina
1032,Nymphalidae,Junonia villida,10,Female,4,1,0.4,SRR1145747_X_Nymphalidae_Nymphalinae_Junoniini_Junonia_coenia
1041,Lycaenidae,Lampides boeticus,10,Male,7,1,0.7,BN001093_BNSZS00308_Lycaenidae_Polyommatinae_Polyommatini_Lampides_boeticus
2774,Papilionidae,Papilio aegeus,10,Male,2,1,0.2,SRR5879306_X_Papilionidae_Papilioninae_Papilionini_Papilio_ambrax
2846,Pieridae,Cepora perimale,10,Female,5,1,0.5,BN002330_DL16V155_Pieridae_Pierinae_Pierini_Cepora_nerissa
2783,Pieridae,Pieris rapae,10,Male,0,1,0,BN007169_LEP50891_Pieridae_Pierinae_Pierini_Pieris_rapae
2857,Lycaenidae,Theclinesthes onycha,10,Female,3,1,0.3,BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini
1076,Pieridae,Catopsilia pomona,10,Male,7,1,0.7,BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla
