Site,ID,Family,Binomial,Ndaphnia,Sex,Collector,Climate,Date,X30m,X60m,X120m,X180m,X240m,nbut,Notes,weight,Condition,wing_atk,bird_div,bird_dens,bird_pc1,bird_pc2,bird_pc3,bird_pc4,death.p,Phylo
AO,ao3,Lycaenidae,Zizina otis,10,Male,NA,Temperate,10/11/2023,0,0,1,1,1,2,NA,0.006,Semi-natural,20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
AO,ao1,Lycaenidae,Zizina otis,10,Male,NA,Temperate,10/11/2023,0,0,0,0,0,2,NA,0.007,Semi-natural,20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
AO,ao2,Lycaenidae,Zizina otis,10,Female,NA,Temperate,10/11/2023,0,0,0,1,4,2,NA,0.006,Semi-natural,20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
AO,3513,Lycaenidae,Zizina otis,10,Female,HS,Temperate,10/11/2023,0,0,0,2,3,1,NA,0.005,Semi-natural,20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
AO,3585,Lycaenidae,Zizina otis,10,Female,SS,Temperate,10/11/2023,2,6,7,8,8,1,Brought from store and tested next day,0.007,Semi-natural,20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.8,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
BBG,1017,Lycaenidae,Zizina otis,10,Female,SS,Subtropical,20/09/2022,0,1,6,6,6,1,NA,0.006,Urban,67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.6,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
BBG,bbg1,Lycaenidae,Zizina otis,10,Male,NA,Subtropical,20/09/2022,0,2,4,4,4,2,NA,0.007,Urban,67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
BBG,1040,Lycaenidae,Zizina otis,10,Female,MFE,Subtropical,20/09/2022,0,0,0,0,0,1,NA,0.007,Urban,67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
BBG,996,Lycaenidae,Zizina otis,10,Female,HS,Subtropical,20/09/2022,0,0,2,3,3,1,NA,0.007,Urban,67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
BBG,998,Lycaenidae,Zizina otis,10,Male,HS,Subtropical,20/09/2022,0,0,5,7,8,1,NA,0.006,Urban,67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.8,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
